r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.43 157.98 1.29 0.00
1.28 215.95 1.60 231.98
2.13 229.13 1.89 361.28
2.98 237.94 2.03 500.69
3.83 237.93 2.05 638.02
4.68 234.87 1.91 764.79
5.53 234.78 1.68 882.21
6.38 233.86 1.43 991.75
7.23 231.50 1.15 1090.61
8.09 230.43 0.93 1180.90
8.94 224.52 0.76 1261.24
9.79 220.11 0.66 1334.94
10.64 218.17 0.60 1407.42
11.49 214.47 0.55 1479.89
12.34 210.81 0.49 1550.16
13.19 206.62 0.45 1617.82
14.04 205.13 0.41 1684.13
14.89 201.80 0.37 1748.50
15.75 199.58 0.32 1809.70
16.60 194.60 0.28 1865.15
17.45 189.52 0.27 1917.77
18.30 188.53 0.26 1971.16
19.15 186.70 0.25 2025.92
20.00 185.48 0.22 2079.27
20.85 185.31 0.21 2131.55
21.70 185.89 0.19 2183.81
22.55 184.36 0.18 2235.36
23.41 182.59 0.17 2287.06
24.26 183.72 0.16 2338.20
25.11 186.14 0.15 2390.26
25.96 186.29 0.15 2444.42
26.81 185.23 0.14 2499.27
27.66 186.46 0.14 2555.15
28.51 188.13 0.12 2610.25
