r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.51 11.26 1.21 0.00
0.91 20.86 1.21 14.23
1.32 30.30 1.25 25.01
1.73 48.30 1.25 43.38
2.13 54.76 1.24 64.54
2.54 59.58 1.23 86.41
2.95 67.51 1.23 110.46
3.35 75.09 1.21 136.93
3.76 85.95 1.16 167.81
4.17 93.87 1.11 201.83
4.57 92.35 1.08 233.95
4.98 90.41 1.03 263.17
5.39 88.93 1.00 289.64
5.79 89.84 0.95 314.23
6.20 91.39 0.94 339.70
6.60 93.94 0.90 365.34
7.01 88.63 0.89 390.04
7.42 87.79 0.83 412.12
7.82 92.77 0.80 434.39
8.23 94.35 0.75 458.55
8.64 93.53 0.70 481.84
9.04 96.89 0.65 504.25
9.45 96.07 0.62 527.18
9.86 96.70 0.59 549.60
10.26 96.94 0.55 571.03
10.67 96.00 0.53 592.33
11.08 97.42 0.51 613.64
11.48 99.42 0.48 634.85
11.89 97.07 0.45 655.82
12.29 97.70 0.44 675.66
12.70 97.71 0.41 695.82
13.11 97.71 0.40 715.70
13.51 97.80 0.37 734.73
13.92 97.45 0.36 753.80
14.33 97.00 0.34 772.51
14.73 97.83 0.34 790.93
15.14 97.78 0.31 809.67
15.55 97.28 0.31 828.04
15.95 97.57 0.29 845.86
16.36 97.37 0.28 863.78
16.77 97.91 0.27 881.68
