r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.25 4.25 5.63 0.00
0.41 6.84 5.71 2.15
0.57 9.56 5.75 3.47
0.74 12.30 5.75 5.33
0.90 15.10 5.70 7.51
1.07 17.50 5.60 10.22
1.24 19.70 5.31 13.18
1.40 21.80 4.88 16.13
1.57 24.40 4.38 19.46
1.72 27.30 3.93 22.65
1.89 30.30 3.39 26.50
2.06 32.60 2.84 30.36
2.46 33.30 1.67 37.74
2.79 34.60 0.98 42.19
3.13 34.20 0.45 45.23
