r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.19 19.42 1.22 0.00
0.37 29.47 1.44 8.72
0.56 37.92 1.67 14.59
0.74 43.59 1.91 21.28
0.93 49.90 1.89 29.14
1.12 54.73 1.88 37.70
1.30 56.47 1.74 45.63
1.49 58.14 1.41 53.10
1.68 59.52 0.98 59.33
1.86 59.76 0.53 63.60
