r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.70 41.30 7.11 0.00
1.40 68.70 9.74 78.19
2.09 83.80 9.98 120.67
2.79 88.70 8.27 162.74
3.49 90.10 6.86 201.66
4.19 91.60 4.74 235.38
4.89 92.70 3.67 265.84
5.59 91.50 2.27 291.18
