r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.21 3.14 9.22 0.00
0.31 5.80 10.77 1.38
0.42 7.09 12.49 2.11
0.52 11.14 12.04 3.16
0.63 12.85 10.39 4.49
0.73 14.10 8.62 5.62
0.84 17.11 7.40 7.00
0.94 17.97 5.94 8.28
1.05 21.58 4.65 9.73
