r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.09 16.50 14.34 0.00
0.27 38.50 13.64 8.08
0.45 47.40 13.20 14.06
0.63 55.50 12.57 21.39
0.81 56.40 12.15 28.89
0.99 59.80 11.61 36.50
1.17 67.80 11.05 45.35
1.35 76.40 10.54 55.94
1.53 81.20 9.96 67.47
1.71 82.20 9.22 78.70
1.89 82.60 8.30 89.07
2.07 82.30 7.31 98.51
2.25 82.10 6.54 107.18
2.67 81.40 4.99 125.23
3.15 79.30 4.15 143.92
3.61 78.50 3.53 160.98
4.04 78.20 3.12 176.69
4.49 78.10 3.05 193.94
4.93 78.20 2.71 211.21
5.38 78.30 2.06 227.22
5.86 78.60 1.57 241.90
6.28 78.90 1.29 253.45
6.74 79.50 0.98 264.83
