r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.28 168.00 2.90 0.00
0.37 187.00 2.91 59.67
0.47 204.00 2.91 74.09
0.56 218.00 2.91 88.30
0.65 232.00 2.91 103.88
0.75 243.00 2.91 122.32
0.84 253.00 2.91 139.65
0.93 262.00 2.92 157.75
1.03 269.00 2.92 178.45
1.12 275.00 2.92 197.37
1.21 280.00 2.92 216.56
1.30 284.00 2.92 235.93
1.41 287.00 2.92 259.65
1.50 289.00 2.92 278.95
1.59 290.00 2.92 298.13
1.68 291.00 2.92 317.16
1.78 292.00 2.92 338.18
1.87 292.00 2.91 356.91
1.96 291.00 2.91 375.33
2.05 291.00 2.91 393.53
2.16 291.00 2.91 415.64
2.25 290.00 2.91 433.54
2.34 290.00 2.91 451.29
2.43 290.00 2.91 468.99
2.46 290.00 2.91 474.88
2.53 290.00 2.93 488.65
2.62 290.00 2.95 506.44
2.71 290.00 2.97 524.30
2.80 290.00 2.99 542.20
2.99 290.00 3.04 580.28
3.28 291.00 3.10 639.14
3.74 292.00 3.25 734.88
3.83 292.00 3.31 753.67
4.02 292.00 3.44 794.02
4.09 292.00 3.49 809.04
4.12 292.00 3.51 815.50
4.30 291.00 3.63 854.43
4.39 291.00 3.69 873.92
4.49 291.00 3.76 895.71
4.58 290.00 3.82 915.30
4.87 289.00 4.01 978.39
4.91 288.00 4.03 987.01
4.96 288.00 4.05 997.71
5.05 287.00 4.07 1016.79
5.14 287.00 4.10 1035.69
5.24 286.00 4.12 1056.48
5.33 286.00 4.15 1075.03
5.42 285.00 4.17 1093.42
5.51 285.00 4.20 1111.68
5.61 284.00 4.22 1131.81
5.71 284.00 4.25 1151.79
5.80 283.00 4.28 1169.67
5.89 283.00 4.30 1187.44
5.98 283.00 4.32 1205.19
6.08 283.00 4.35 1224.91
6.15 283.00 4.32 1238.64
6.17 283.00 4.31 1242.54
6.26 283.00 4.22 1259.83
6.35 283.00 4.14 1276.73
6.73 284.00 3.80 1344.81
6.83 284.00 3.71 1362.00
6.92 285.00 3.62 1377.25
7.37 288.00 3.19 1450.80
8.60 297.00 1.54 1604.32
9.83 305.00 0.57 1698.33
