r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.72 22.93 4.54 0.00
2.17 24.71 3.52 42.46
3.62 42.20 2.23 69.78
5.06 54.65 1.30 121.03
6.51 58.90 0.58 160.70
