r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.31 9.18 16.43 0.00
0.63 15.02 12.12 6.81
0.94 16.66 9.26 10.11
1.25 24.52 6.94 14.95
1.56 32.22 5.23 21.61
1.88 38.70 4.29 29.90
2.19 44.59 3.65 39.10
2.50 48.30 3.30 49.22
2.81 50.71 2.81 59.52
3.13 51.66 2.37 69.60
3.44 52.41 1.98 78.64
3.75 53.31 1.62 86.96
4.07 55.88 1.37 95.21
4.38 53.24 1.10 102.43
4.69 53.25 0.86 108.46
