r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
1.09 173.27 4.64 0.00
1.81 184.02 6.23 288.42
2.54 170.08 6.09 352.00
3.26 161.31 5.66 409.46
3.99 159.06 5.31 469.13
4.71 155.16 5.32 530.57
5.44 158.58 5.37 598.77
6.16 161.44 5.23 671.76
6.89 162.28 4.91 746.21
7.61 159.66 4.75 816.99
8.34 159.20 4.44 885.70
9.06 158.48 4.24 951.86
9.79 158.57 3.99 1017.91
10.51 159.97 3.79 1083.22
11.24 161.52 3.73 1151.71
11.96 162.94 3.57 1221.08
12.69 164.06 3.35 1291.21
13.41 166.58 3.14 1360.18
14.14 163.40 2.96 1427.81
14.86 161.37 2.62 1488.61
15.59 160.22 2.07 1541.59
16.31 166.43 1.54 1585.99
