r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.59 35.03 9.56 0.00
1.77 56.14 8.34 77.57
2.95 67.15 5.89 114.78
4.13 73.10 3.17 164.43
5.31 75.03 1.31 197.94
