r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.93 40.50 11.42 0.00
1.94 53.90 10.44 81.55
2.87 73.00 8.07 126.13
3.72 78.40 6.58 171.51
4.47 79.30 5.48 208.93
5.16 81.10 4.28 240.17
