r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.10 18.29 8.56 0.00
0.29 34.26 8.89 7.91
0.48 47.41 8.52 14.44
0.67 51.53 8.54 21.92
0.86 54.10 8.78 29.69
1.05 59.22 9.58 38.63
1.24 62.84 9.59 48.31
1.43 66.70 9.88 58.61
1.62 70.92 10.22 69.82
1.81 75.82 9.93 81.76
2.00 80.34 9.89 94.44
2.19 84.75 9.99 108.02
2.38 89.08 9.65 122.19
2.57 93.25 9.52 136.90
2.76 96.78 9.71 152.42
2.96 99.56 10.36 169.91
3.15 102.93 10.49 187.37
3.34 105.71 10.08 204.85
3.53 108.40 9.10 221.48
3.72 110.83 8.79 237.60
3.91 111.98 8.66 253.71
4.10 113.63 8.15 269.53
4.29 114.61 7.72 284.85
4.48 115.41 7.42 299.79
4.67 114.13 6.73 313.78
4.86 113.40 6.17 326.50
5.05 113.77 5.68 338.44
5.24 113.39 5.41 349.96
5.43 111.78 5.24 361.14
5.62 109.27 4.97 371.71
5.82 106.87 4.72 382.05
6.01 106.36 4.48 391.42
6.20 106.55 4.18 400.54
6.39 106.58 3.75 409.25
6.58 104.01 3.36 417.17
6.77 102.00 3.02 424.20
6.96 99.87 2.69 430.49
7.15 100.35 2.40 436.27
7.34 101.20 2.20 441.88
7.53 99.19 1.95 447.14
7.72 98.85 1.68 451.86
7.91 98.39 1.45 456.12
8.10 97.44 1.24 459.94
