r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.34 13.50 3.78 0.00
0.67 31.30 3.31 14.96
1.00 35.30 2.58 22.89
1.34 50.50 1.95 34.14
1.68 61.00 1.50 48.27
2.01 66.50 1.26 62.98
2.34 74.40 1.12 79.11
2.67 83.00 1.00 97.39
3.01 86.40 0.89 117.18
3.35 83.60 0.92 137.05
3.68 79.80 0.93 155.70
4.02 82.80 0.92 175.15
4.35 83.50 0.87 194.41
4.68 80.40 0.80 212.07
5.02 80.30 0.72 228.41
5.35 82.10 0.66 243.79
5.69 82.40 0.63 259.72
6.03 80.90 0.61 275.42
6.36 79.00 0.64 290.64
6.69 81.40 0.65 306.97
7.02 79.70 0.62 323.48
7.36 77.50 0.50 337.99
7.70 79.90 0.47 351.21
8.03 81.50 0.45 364.69
8.37 82.20 0.43 378.96
8.70 82.00 0.42 392.95
9.03 84.70 0.40 407.39
9.37 86.10 0.37 422.58
9.70 85.30 0.34 436.75
10.04 86.50 0.31 450.68
