r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.05 8.66 13.65 0.00
0.51 15.83 14.71 7.44
0.96 23.03 13.79 14.27
1.42 27.44 12.06 23.22
1.87 33.04 10.90 34.03
2.33 38.71 10.24 47.67
2.78 46.48 9.58 64.15
3.24 52.19 8.94 83.65
3.69 58.88 7.97 104.40
4.15 65.76 6.98 127.16
4.61 68.96 5.99 149.93
5.06 71.48 5.17 171.14
5.52 71.72 4.76 192.01
5.97 73.59 4.42 212.28
6.43 77.10 4.04 233.62
6.88 80.03 3.54 254.68
7.34 81.08 3.11 275.42
7.79 83.80 2.93 295.72
8.25 86.52 2.45 316.22
8.71 87.63 2.16 335.59
9.16 87.46 1.85 353.23
9.62 85.72 1.55 369.19
10.07 84.75 1.15 382.07
10.53 87.09 0.91 393.07
10.98 88.68 0.76 402.91
11.44 85.41 0.53 411.20
11.89 85.20 0.39 417.26
12.35 83.97 0.28 422.10
12.81 84.39 0.22 426.01
13.26 85.81 0.17 429.30
