r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.23 13.10 7.58 0.00
0.47 17.30 6.18 6.21
0.70 23.60 4.71 9.79
0.93 26.20 3.98 14.01
1.17 27.40 3.34 18.38
1.40 26.90 2.90 22.26
1.64 27.40 2.56 26.12
1.87 31.00 2.33 30.38
2.10 32.50 2.21 35.30
2.33 33.00 2.04 40.35
2.57 36.50 1.92 46.08
2.80 38.90 1.76 52.17
3.26 41.50 1.25 63.68
3.73 42.70 0.68 72.70
4.21 44.70 0.41 79.43
4.67 46.70 0.16 83.75
5.14 48.50 0.04 85.76
5.61 50.00 0.04 86.90
6.07 50.20 0.04 88.29
6.54 50.10 0.04 89.98
7.00 51.60 0.04 91.94
