r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.16 160.00 3.18 0.00
0.32 177.00 3.20 46.34
0.49 180.00 3.21 65.25
0.65 180.00 3.22 83.40
1.30 182.00 3.28 170.41
1.46 183.00 3.29 187.84
1.62 184.00 3.31 206.18
3.72 206.00 3.59 556.56
3.89 207.00 3.62 576.99
4.05 209.00 3.64 597.14
4.22 210.00 3.66 619.39
4.26 210.00 3.67 624.70
4.38 211.00 3.68 640.84
4.54 213.00 3.69 662.98
4.71 214.00 3.70 687.08
4.86 215.00 3.71 708.68
5.02 215.00 3.72 731.89
5.18 216.00 3.73 755.26
5.35 217.00 3.75 780.47
5.51 217.00 3.76 804.34
5.68 218.00 3.77 829.84
5.84 218.00 3.78 853.96
6.00 219.00 3.79 878.21
6.15 219.00 3.80 901.05
6.48 219.00 3.80 951.08
6.64 219.00 3.79 975.14
6.81 220.00 3.78 1000.74
7.10 220.00 3.76 1044.38
7.13 220.00 3.76 1048.86
8.52 220.00 3.65 1255.22
10.66 225.00 3.21 1562.50
11.99 228.00 2.89 1747.23
12.10 228.00 2.86 1762.28
12.33 228.00 2.81 1793.50
12.78 229.00 2.69 1853.92
14.93 228.00 2.13 2120.48
17.08 226.00 1.61 2352.21
19.23 226.00 1.19 2553.36
21.27 227.00 0.85 2718.57
23.42 227.00 0.62 2868.96
25.57 224.00 0.49 3003.22
27.72 218.00 0.40 3125.43
29.87 215.00 0.35 3241.30
32.02 219.00 0.32 3361.66
34.05 211.00 0.30 3478.73
