r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.58 23.90 3.94 0.00
1.17 34.70 4.24 32.17
1.75 42.80 3.81 49.37
2.33 51.30 5.34 76.74
2.91 57.70 6.30 108.73
3.50 67.30 6.24 144.46
4.07 75.40 6.89 184.97
4.65 79.50 5.88 224.51
5.23 82.80 4.08 256.54
5.82 85.60 2.97 283.29
