r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.21 16.40 10.69 0.00
0.41 26.20 9.84 8.13
0.62 35.20 8.26 13.46
0.82 44.00 5.25 19.00
