r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.59 17.14 6.82 0.00
1.76 25.82 6.66 36.42
2.93 36.94 5.85 59.20
4.11 44.96 5.12 101.24
5.28 52.92 4.18 144.08
6.45 60.02 2.86 190.02
7.62 62.71 1.76 228.62
8.80 63.31 1.06 257.85
9.97 64.89 0.68 279.92
11.14 67.66 0.47 300.12
