r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.43 13.11 2.64 0.00
0.86 21.23 2.66 14.07
1.29 25.92 2.44 22.03
1.72 34.06 2.79 34.61
2.15 37.68 2.56 48.27
2.58 38.68 1.92 59.86
3.01 40.32 1.60 70.30
3.44 43.67 1.68 82.52
3.87 44.94 1.89 97.44
4.31 48.12 1.75 113.92
4.74 49.83 1.37 128.87
5.17 51.43 0.97 141.26
