r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.75 51.27 6.17 0.00
2.24 64.07 4.01 108.01
3.74 81.80 1.91 157.75
5.24 93.12 0.84 222.76
