r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
1.25 47.00 4.19 0.00
2.08 59.50 4.33 99.86
2.90 71.60 4.38 143.71
3.73 77.60 4.12 191.57
4.56 83.40 3.86 241.47
5.39 89.70 3.67 295.38
6.22 93.80 3.46 351.94
7.04 99.00 3.30 410.40
7.87 103.00 3.02 471.05
8.70 100.00 2.63 525.95
9.54 98.30 2.33 573.96
10.34 98.40 2.16 617.11
11.21 94.50 2.01 661.25
11.98 94.90 1.86 698.27
12.85 95.30 1.67 739.44
13.72 96.90 1.48 779.90
14.49 97.20 1.33 814.90
15.36 100.00 1.17 853.89
16.13 104.00 1.08 889.73
17.00 104.00 0.93 929.73
17.78 105.00 0.81 963.16
18.65 109.00 0.72 999.91
19.52 110.00 0.70 1038.16
20.29 107.00 0.69 1072.62
21.16 106.00 0.66 1111.08
21.93 106.00 0.65 1145.56
22.80 108.00 0.66 1187.23
23.67 109.00 0.72 1234.34
24.44 110.00 0.75 1280.91
25.31 110.00 0.78 1337.49
26.08 110.00 0.87 1392.52
26.95 113.00 0.98 1464.82
27.73 114.00 0.97 1535.08
28.60 112.00 0.99 1612.83
29.47 113.00 0.98 1689.92
30.24 115.00 0.90 1756.48
