r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.41 22.67 17.48 0.00
1.23 31.77 14.26 30.39
2.05 45.53 9.97 48.14
2.87 58.90 7.15 81.15
3.68 73.31 5.24 116.96
4.50 85.55 4.08 161.00
5.32 91.94 2.72 202.82
6.14 93.39 1.63 236.55
6.96 92.95 1.13 260.62
7.78 96.56 0.90 285.43
