r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.87 47.10 7.75 0.00
1.74 65.90 8.13 90.88
2.61 76.10 7.85 136.70
3.50 85.70 7.70 192.43
4.37 96.60 7.71 257.02
5.24 99.30 7.25 322.87
6.11 103.00 6.39 384.98
6.98 107.00 6.26 448.98
7.85 111.00 5.98 516.45
8.72 114.00 5.03 581.56
9.60 115.00 4.40 642.68
10.47 111.00 4.06 698.15
11.35 110.00 3.07 745.69
12.31 111.00 2.17 787.70
13.12 109.00 1.90 818.75
14.05 108.00 1.73 853.33
14.98 109.00 1.47 887.37
16.03 111.00 1.04 921.93
16.95 110.00 1.02 950.60
17.88 109.00 0.89 979.70
18.93 110.00 0.57 1007.26
19.97 112.00 0.53 1031.34
21.02 113.00 0.33 1052.78
