r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.32 284.00 5.24 0.00
0.63 282.00 5.25 148.47
0.95 281.00 5.25 200.85
1.26 280.00 5.26 253.98
1.58 280.00 5.26 310.47
1.89 279.00 5.26 365.74
2.21 279.00 5.27 423.36
2.52 279.00 5.27 479.61
2.84 279.00 5.28 538.06
3.15 279.00 5.28 594.88
3.47 279.00 5.29 653.75
3.79 279.00 5.29 712.73
4.10 280.00 5.27 770.12
4.42 280.00 5.26 829.56
4.73 280.00 5.24 887.01
5.05 281.00 5.23 946.56
5.36 282.00 5.21 1004.72
5.68 282.00 5.20 1064.92
5.99 283.00 5.18 1123.38
6.31 284.00 5.16 1184.14
6.62 284.00 5.15 1243.11
6.94 285.00 5.13 1304.13
7.57 286.00 5.10 1425.18
7.89 287.00 5.08 1486.80
8.20 287.00 5.07 1546.61
8.31 288.00 5.05 1567.86
8.52 288.00 5.01 1608.40
8.83 288.00 4.97 1667.84
9.15 288.00 4.92 1728.75
9.78 289.00 4.82 1848.08
10.10 289.00 4.77 1908.31
11.04 288.00 4.63 2082.76
11.36 288.00 4.58 2141.22
11.67 288.00 4.53 2197.59
13.57 285.00 4.26 2535.62
13.88 284.00 4.22 2589.07
14.20 284.00 4.18 2643.93
16.61 278.00 3.90 3045.75
19.35 273.00 3.74 3487.11
22.19 269.00 3.51 3931.95
24.92 265.00 3.20 4338.84
27.66 262.00 2.73 4714.45
30.50 257.00 2.22 5058.33
33.23 252.00 1.81 5346.29
35.96 247.00 1.56 5606.43
38.80 242.00 1.49 5871.25
41.54 238.00 1.44 6133.28
44.27 235.00 1.34 6396.08
47.11 236.00 1.24 6671.37
49.84 239.00 1.17 6946.15
52.58 242.00 1.12 7236.79
55.42 245.00 1.13 7562.36
58.15 247.00 1.08 7893.57
60.89 246.00 0.97 8218.30
63.62 243.00 0.86 8517.03
66.46 239.00 0.78 8802.72
69.19 234.00 0.73 9060.08
71.93 230.00 0.70 9308.51
74.77 228.00 0.66 9560.46
77.50 228.00 0.60 9795.45
80.23 227.00 0.53 10017.15
83.07 226.00 0.46 10229.28
85.81 224.00 0.41 10417.74
88.54 222.00 0.37 10593.12
91.38 222.00 0.33 10765.44
94.12 224.00 0.31 10928.66
99.69 227.00 0.31 11287.63
108.31 229.00 0.31 11931.75
