r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.25 3.17 5.97 0.00
0.50 10.50 5.87 3.75
0.75 17.50 8.40 8.39
1.00 22.70 6.49 13.03
1.26 29.70 6.91 19.80
1.50 34.50 7.27 27.69
1.76 36.00 6.10 35.72
2.01 37.30 6.83 43.45
2.26 35.60 7.40 51.04
2.51 34.90 7.54 57.84
2.76 32.70 8.03 63.79
3.01 32.80 7.74 69.17
3.27 33.20 7.28 74.63
3.51 32.10 7.00 79.33
3.76 30.10 5.99 83.25
4.02 32.30 5.53 87.20
4.26 33.60 4.88 91.33
4.52 35.10 4.48 96.08
4.77 35.30 4.06 100.73
5.02 35.20 3.49 105.06
5.27 34.60 3.32 109.10
5.52 33.00 3.07 112.81
