r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.51 143.00 3.27 0.00
0.69 160.00 3.40 94.83
0.86 178.00 3.64 117.33
1.03 188.00 4.02 142.51
1.20 187.00 4.49 167.12
1.38 195.00 5.02 194.29
1.55 199.00 5.50 221.40
1.71 203.00 5.86 247.40
1.89 206.00 6.22 276.97
2.06 211.00 6.49 305.39
2.23 219.00 6.69 335.32
2.41 216.00 6.84 366.34
2.58 214.00 7.02 393.58
2.75 213.00 7.33 420.03
2.92 210.00 7.80 446.00
3.09 214.00 8.44 473.17
3.26 213.00 8.98 501.47
3.43 212.00 9.38 529.31
3.61 215.00 9.61 558.88
3.78 217.00 9.62 587.03
3.95 219.00 9.56 614.96
4.12 220.00 9.50 642.52
4.29 218.00 9.49 669.11
4.46 220.00 9.51 695.29
4.64 220.00 9.37 722.83
4.81 216.00 9.10 747.24
4.98 220.00 8.76 770.83
5.15 218.00 8.45 794.01
5.32 213.00 8.29 815.52
5.49 215.00 8.18 836.50
5.67 216.00 8.12 859.33
5.84 208.00 8.09 879.84
6.01 212.00 8.07 899.99
6.19 213.00 8.12 922.56
6.35 216.00 8.19 943.59
6.64 210.00 8.33 981.60
8.82 210.00 7.33 1259.07
11.07 210.00 5.28 1511.05
13.32 206.00 3.22 1711.64
15.49 206.00 1.50 1846.01
17.74 206.00 0.94 1947.61
