r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.08 6.37 5.19 0.00
0.25 8.62 5.39 1.77
0.42 17.91 5.85 4.40
0.58 32.76 6.28 9.47
0.75 31.72 6.04 14.58
0.92 40.18 5.68 20.01
1.09 49.30 5.33 27.07
1.25 57.79 5.13 35.15
1.42 60.87 5.20 44.56
1.59 64.31 5.29 54.32
1.75 66.17 5.37 63.73
1.92 68.48 5.24 73.69
2.09 71.09 5.18 83.74
2.25 71.54 5.23 93.23
2.42 73.62 5.30 103.47
2.59 74.87 5.36 113.95
2.76 74.72 5.48 124.39
2.92 79.22 5.66 134.87
3.09 78.25 5.99 146.59
3.26 78.52 6.15 158.11
3.42 81.34 6.01 169.03
3.59 83.21 5.75 180.67
3.76 82.82 5.59 191.83
3.92 83.15 5.51 201.92
4.09 81.08 5.21 211.86
4.26 83.32 5.04 221.39
4.43 78.97 4.99 230.39
4.59 78.35 4.85 238.08
4.76 79.40 4.76 246.23
4.93 80.64 4.70 254.70
5.09 79.85 4.68 262.74
5.26 80.82 4.80 271.49
5.43 81.99 4.93 280.85
5.59 81.98 4.98 289.97
5.76 80.82 5.01 299.54
5.93 83.66 5.11 309.50
6.10 84.71 5.31 320.33
6.26 81.28 5.45 330.33
6.43 82.11 5.44 340.54
6.60 83.17 5.29 350.84
6.76 86.39 5.17 360.90
6.93 87.86 5.08 372.07
7.10 89.12 4.91 383.32
7.26 89.93 4.78 393.84
7.43 92.43 4.73 405.29
7.60 94.22 4.83 417.42
7.77 96.43 4.88 430.27
7.93 97.31 4.98 442.92
8.10 98.90 4.91 456.65
8.27 95.48 4.78 469.67
8.43 95.87 4.68 481.13
8.60 97.05 4.59 493.25
8.77 97.30 4.47 505.27
8.93 103.26 4.39 517.19
9.10 103.50 4.35 530.55
9.27 104.21 4.25 543.79
9.44 104.35 4.19 556.87
9.60 104.16 4.11 568.96
9.77 105.32 4.00 581.65
9.94 107.35 3.91 594.47
10.10 108.34 3.75 606.54
10.27 109.93 3.57 619.15
10.44 109.12 3.31 631.16
10.60 111.31 3.10 641.90
10.77 112.26 2.88 652.99
10.94 110.90 2.70 663.42
11.10 110.95 2.54 672.63
11.27 111.51 2.39 682.03
11.44 111.40 2.27 691.09
11.61 112.17 2.17 699.93
11.77 112.42 2.08 708.11
11.94 112.61 1.95 716.53
12.11 114.12 1.81 724.66
12.27 115.12 1.70 732.10
12.44 115.54 1.58 739.73
12.61 115.71 1.46 746.99
