r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.68 38.72 3.34 0.00
2.04 37.55 1.82 57.50
3.40 53.20 0.70 83.48
4.76 60.35 0.27 118.04
