r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.16 24.50 7.92 nan
0.26 35.30 7.92 7.17
0.36 43.20 7.92 10.58
0.46 52.00 7.92 14.84
0.56 60.90 7.96 20.05
0.66 65.80 8.06 25.78
0.76 71.70 8.15 31.94
0.86 74.60 8.24 38.35
0.96 74.60 8.33 44.54
1.06 76.60 8.33 50.59
1.16 78.50 8.34 56.73
1.27 83.40 8.34 63.94
1.36 86.40 8.34 70.26
1.47 87.40 8.35 78.08
1.57 90.30 8.32 85.29
1.67 93.30 8.29 92.81
1.77 93.30 8.26 100.33
1.87 95.20 8.23 107.81
1.97 97.20 8.20 115.46
2.08 99.10 8.30 124.12
2.18 98.20 8.40 131.96
2.28 98.20 8.50 139.64
2.37 98.20 8.59 146.48
2.47 97.20 8.69 153.93
2.57 98.20 8.84 161.36
2.68 98.20 9.03 169.64
2.78 98.20 9.20 177.18
2.88 99.10 9.37 184.81
2.98 100.00 9.54 192.62
3.08 102.00 9.75 200.75
3.19 101.00 9.99 209.79
3.29 101.00 10.21 217.88
3.39 103.00 10.43 226.19
3.49 107.00 10.57 235.15
3.59 110.00 10.40 244.63
3.69 112.00 10.24 254.28
3.79 114.00 10.07 263.99
3.90 118.00 9.89 274.96
3.99 118.00 9.73 283.98
4.47 118.00 8.75 327.60
4.97 121.00 8.00 369.34
5.47 124.00 6.99 409.34
5.96 125.00 6.68 447.80
6.46 126.00 6.37 487.15
6.96 126.00 6.22 526.64
7.45 126.00 5.86 564.72
7.95 126.00 5.23 601.48
8.45 127.00 4.89 636.86
8.94 128.00 4.70 671.82
9.44 128.00 4.39 707.30
9.94 127.00 3.93 740.80
10.43 127.00 3.62 771.77
10.93 128.00 3.26 802.31
11.43 130.00 2.78 831.29
11.92 130.00 2.37 857.41
12.42 132.00 2.24 883.26
12.92 133.00 2.02 909.19
13.42 133.00 1.80 934.03
13.91 133.00 1.55 956.64
14.41 133.00 1.29 977.40
14.91 134.00 1.14 996.50
15.40 134.00 0.96 1013.84
15.90 133.00 0.92 1030.63
16.40 134.00 0.74 1046.35
16.89 134.00 0.65 1060.21
17.39 136.00 0.56 1073.47
17.89 136.00 0.45 1085.41
18.38 135.00 0.38 1095.57
18.88 133.00 0.34 1104.96
19.38 134.00 0.29 1113.62
19.87 136.00 0.18 1120.42
20.37 135.00 0.14 1125.50
20.87 134.00 0.12 1129.84
