r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.17 21.32 6.73 0.00
0.51 46.41 6.73 18.66
0.85 69.62 6.76 36.84
1.19 77.81 7.01 58.15
1.52 84.32 8.11 81.46
1.86 95.38 8.70 109.31
2.20 104.71 8.91 140.28
2.54 112.02 9.05 173.11
2.88 116.67 9.16 206.71
3.22 122.47 9.29 241.36
3.56 125.58 9.32 276.60
3.90 126.57 8.98 310.44
4.23 127.34 8.71 341.61
4.57 129.42 8.64 373.45
4.91 132.06 8.70 406.28
5.25 133.56 8.53 439.56
5.59 135.07 8.20 472.36
5.93 136.42 8.23 505.28
6.27 136.57 8.06 538.10
6.61 135.42 7.80 569.61
6.94 134.18 7.49 598.52
7.28 134.03 7.10 626.85
7.62 137.37 6.46 654.51
7.96 139.15 5.95 681.77
8.30 139.66 5.67 708.58
8.64 140.21 5.47 735.27
8.98 138.57 5.38 761.73
9.32 137.34 5.19 787.51
9.65 137.51 5.15 812.43
9.99 141.25 5.19 839.73
10.33 138.91 5.10 867.73
10.67 138.80 5.01 895.16
11.01 137.58 5.09 922.75
11.35 136.22 5.11 950.39
11.69 140.31 5.17 979.42
12.03 144.06 5.33 1011.51
12.36 136.59 5.57 1042.80
12.70 139.84 5.63 1074.87
13.04 139.93 5.62 1108.07
13.38 139.16 5.66 1141.15
13.72 138.74 5.46 1173.39
14.06 138.87 5.24 1204.41
14.40 139.26 5.04 1234.53
14.74 137.40 4.89 1263.46
15.07 138.09 4.77 1290.75
15.41 138.82 4.89 1319.55
15.75 138.25 5.09 1349.59
16.09 139.23 5.00 1380.21
16.43 139.79 4.99 1411.12
16.77 141.28 4.96 1442.62
17.11 142.20 4.79 1474.27
17.45 142.98 4.65 1505.53
17.78 143.30 4.61 1535.76
18.12 144.11 4.48 1566.80
18.46 146.14 4.38 1598.01
18.80 145.96 4.22 1628.98
19.14 149.05 4.09 1659.88
19.48 150.13 3.97 1691.12
19.82 149.80 3.95 1722.26
20.16 151.73 3.96 1754.02
20.49 150.72 3.84 1784.83
20.83 146.16 3.71 1814.47
21.17 145.16 3.61 1842.20
21.51 149.18 3.45 1869.94
21.85 147.30 3.38 1897.59
