r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.14 5.23 3.47 0.00
0.42 15.40 3.83 5.14
0.69 24.40 4.25 10.57
0.97 32.10 3.76 17.72
1.25 34.60 2.62 24.36
1.52 37.90 2.15 30.61
1.80 40.50 2.62 39.01
2.07 43.00 3.65 50.25
2.35 45.10 4.19 63.51
2.63 45.60 4.14 75.76
2.91 49.20 4.13 87.81
3.19 50.30 4.20 100.17
3.46 53.70 4.31 112.75
3.74 58.00 4.57 127.71
4.01 64.40 4.95 145.15
4.29 67.50 5.62 166.25
4.57 71.30 6.27 189.53
4.85 75.60 6.79 214.77
5.13 80.00 7.57 242.31
5.40 82.80 8.19 270.26
5.68 84.80 8.36 298.64
5.86 86.30 8.27 316.06
6.36 90.20 7.29 359.92
6.51 91.30 6.55 371.67
6.69 92.80 5.46 384.14
