r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.44 28.75 3.71 0.00
1.33 37.70 3.18 39.63
2.22 48.28 2.22 59.41
3.10 53.71 1.18 87.68
3.99 55.85 0.55 107.29
