r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.31 15.46 5.60 0.00
0.94 22.55 5.55 17.08
1.57 29.67 3.92 25.58
2.19 34.24 1.81 37.88
2.82 36.23 0.68 45.71
