r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.08 1.41 3.60 0.00
0.23 4.46 2.84 0.75
0.38 7.71 2.18 1.57
0.54 11.00 2.25 3.06
0.69 14.20 2.70 5.15
0.84 17.20 3.12 7.87
1.00 20.20 3.40 11.26
1.15 23.20 3.89 15.02
1.30 26.40 4.99 19.76
1.46 29.30 6.02 25.65
1.61 31.60 6.03 31.13
1.76 34.60 5.75 36.48
1.92 37.40 5.77 42.42
2.07 39.90 5.68 48.23
2.22 42.20 5.30 54.06
2.38 44.40 4.86 60.16
2.53 46.70 4.50 65.84
2.68 48.50 4.14 71.49
2.76 49.30 3.97 74.47
3.07 53.00 3.60 86.29
3.46 54.10 2.88 100.30
3.83 55.00 2.07 111.38
4.23 55.70 2.03 122.84
4.62 56.40 2.01 135.07
4.99 56.90 1.27 145.14
