r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.19 9.93 4.96 0.00
0.37 16.77 6.01 4.92
0.56 20.30 5.93 7.76
0.75 24.39 5.37 11.18
0.93 28.15 5.02 15.06
1.12 31.74 5.21 20.01
1.31 33.89 5.15 25.41
1.49 36.51 4.58 30.55
1.68 38.62 4.14 35.99
1.87 40.50 3.65 41.38
2.05 43.19 3.23 46.54
2.24 44.19 2.86 51.95
2.43 44.39 2.55 57.10
2.61 44.13 1.89 61.27
2.80 46.75 1.25 64.78
