r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.28 107.00 2.56 0.00
0.55 121.00 2.65 54.49
0.83 134.00 2.74 79.64
1.39 157.00 2.92 148.24
1.65 168.00 3.01 180.18
3.04 207.00 3.43 428.40
3.32 213.00 3.51 471.01
3.59 218.00 3.58 514.74
3.87 222.00 3.66 562.01
4.15 226.00 3.74 610.83
4.43 229.00 3.82 660.83
4.70 232.00 3.89 709.87
4.97 234.00 3.95 759.40
5.25 235.00 4.00 810.60
5.52 236.00 4.06 859.70
5.80 237.00 4.11 910.46
6.08 237.00 4.17 960.84
6.36 237.00 4.22 1010.65
6.63 236.00 4.28 1057.97
6.91 236.00 4.33 1106.43
7.19 235.00 4.40 1154.39
7.27 234.00 4.42 1167.89
7.46 234.00 4.48 1199.82
8.02 231.00 4.64 1292.70
8.29 229.00 4.71 1336.06
8.56 228.00 4.79 1378.73
8.84 226.00 4.87 1422.32
9.12 224.00 4.95 1464.93
9.69 221.00 5.07 1549.35
12.11 216.00 5.20 1896.00
14.58 220.00 4.90 2238.07
14.68 220.00 4.89 2251.86
15.20 221.00 4.81 2323.73
15.50 221.00 4.77 2365.18
15.71 221.00 4.74 2394.07
16.02 221.00 4.69 2436.52
16.32 221.00 4.64 2477.35
16.53 221.00 4.61 2505.80
16.84 221.00 4.53 2547.50
16.94 221.00 4.51 2560.85
19.40 218.00 3.81 2865.64
21.77 216.00 2.98 3119.47
24.23 215.00 2.12 3340.32
26.69 212.00 1.52 3522.54
29.06 208.00 1.52 3692.19
31.52 209.00 1.52 3891.61
36.34 220.00 1.52 4382.99
40.04 220.00 1.52 4825.56
