r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.43 17.35 7.01 0.00
1.29 22.76 7.22 23.99
2.15 37.15 7.25 42.23
3.01 52.28 6.03 79.37
3.87 53.02 3.62 113.17
4.72 53.33 1.82 131.83
5.58 56.58 0.84 146.35
