r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
3.37 287.49 2.78 0.00
4.05 307.32 3.31 1131.19
4.72 310.01 3.67 1266.27
5.40 315.76 3.84 1403.60
6.07 315.63 3.95 1538.71
6.75 318.38 4.10 1677.53
7.42 321.40 4.09 1816.91
8.10 322.60 4.12 1959.26
8.77 322.56 4.33 2102.21
9.45 323.27 4.29 2247.26
10.12 324.55 4.19 2387.70
10.80 325.83 4.10 2528.71
11.47 324.83 3.96 2664.38
12.15 324.24 3.74 2796.39
12.82 323.05 3.65 2922.86
13.50 320.58 3.52 3047.98
14.17 318.67 3.60 3171.03
14.85 314.21 3.63 3296.24
15.52 310.40 3.58 3416.34
16.20 308.55 3.67 3537.90
16.87 304.75 3.70 3657.93
17.55 297.01 3.73 3774.85
18.22 295.24 3.77 3887.04
18.89 293.06 3.98 4002.29
19.57 294.39 4.28 4127.64
20.24 297.75 4.39 4260.55
20.92 300.19 4.39 4400.53
21.59 299.75 4.28 4537.03
22.27 296.78 4.07 4667.47
22.94 294.84 3.78 4785.56
23.62 293.19 3.44 4895.09
24.29 284.86 3.15 4990.33
24.97 277.07 2.92 5073.67
25.64 276.23 2.66 5148.04
26.32 285.56 2.44 5224.19
26.99 289.40 2.32 5303.22
27.67 289.91 2.18 5383.93
28.34 294.08 2.07 5463.87
29.02 298.96 1.98 5547.69
29.69 292.48 1.96 5630.21
30.37 287.99 1.96 5711.97
31.04 282.59 1.82 5788.40
31.72 282.52 1.71 5861.38
32.39 285.05 1.64 5933.06
33.07 285.63 1.62 6007.54
33.74 283.69 1.50 6079.63
34.42 285.19 1.42 6150.35
35.09 275.97 1.33 6215.84
35.77 278.54 1.23 6277.88
36.44 274.62 1.14 6336.26
37.11 270.34 1.11 6391.53
37.79 266.73 1.11 6446.77
38.46 273.00 1.07 6502.95
39.14 280.75 1.03 6563.75
39.81 282.33 1.00 6626.13
40.49 289.27 0.99 6692.51
41.16 290.90 0.96 6760.77
41.84 288.50 0.90 6828.50
42.51 288.18 0.88 6893.49
43.19 285.48 0.85 6958.62
