,t_acc=3Gyr,t_acc=10Gyr,t_acc=25Gyr
0,1396.368361055937,1396.368361055937,1396.368361055937
1,1501.0959881351323,1501.0959881351323,1501.0959881351323
2,1605.8236152143274,1605.8236152143274,1605.8236152143274
3,1710.5512422935228,1710.5512422935228,1710.5512422935228
4,1815.278869372718,1815.278869372718,1815.278869372718
5,1920.0064964519133,1920.0064964519133,1920.0064964519133
6,2024.7341235311087,2024.7341235311087,2024.7341235311087
7,2129.461750610304,2129.461750610304,2129.461750610304
8,2234.189377689499,2234.189377689499,2234.189377689499
9,2338.9170047686944,2338.9170047686944,2338.9170047686944
10,2443.6446318478897,2443.6446318478897,2443.6446318478897
11,2548.372258927085,2548.372258927085,2548.372258927085
12,2653.0998860062805,2653.0998860062805,2653.0998860062805
13,2757.8275130854754,2757.8275130854754,2757.8275130854754
14,2862.555140164671,2862.555140164671,2862.555140164671
15,2967.282767243866,2967.282767243866,2967.282767243866
16,3072.0103943230615,3072.0103943230615,3072.0103943230615
17,3176.738021402257,3176.738021402257,3176.738021402257
18,3281.465648481452,3281.465648481452,3281.465648481452
19,3386.1932755606476,3386.1932755606476,3386.1932755606476
20,3490.9209026398426,3490.9209026398426,3490.9209026398426
21,3595.648529719038,3595.648529719038,3595.648529719038
22,3700.3761567982333,3700.3761567982333,3700.3761567982333
23,3805.1037838774287,3805.1037838774287,3805.1037838774287
24,3909.831410956624,3909.831410956624,3909.831410956624
25,4014.559038035819,4014.559038035819,4014.559038035819
26,4119.286665115014,4119.286665115014,4119.286665115014
27,4224.01429219421,4224.01429219421,4224.01429219421
28,4328.741919273405,4328.741919273405,4328.741919273405
29,4433.4695463526,4433.4695463526,4433.4695463526
30,4538.197173431796,4538.197173431796,4538.197173431796
31,4642.924800510991,4642.924800510991,4642.924800510991
32,4747.652427590186,4747.652427590186,4747.652427590186
33,4852.380054669382,4852.380054669382,4852.380054669382
34,4957.107681748577,4957.107681748577,4957.107681748577
35,5061.835308827773,5061.835308827773,5061.835308827773
36,5166.562935906966,5166.562935906966,5166.562935906966
37,5271.2905629861625,5271.2905629861625,5271.2905629861625
38,5376.018190065359,5376.018190065359,5376.018190065359
39,5480.745817144553,5480.745817144553,5480.745817144553
40,5585.473444223748,5585.473444223748,5585.473444223748
41,5690.201071302945,5690.201071302945,5690.201071302945
42,5794.9286983821385,5794.9286983821385,5794.9286983821385
43,5899.656325461334,5899.656325461334,5899.656325461334
44,6004.383952540529,6004.383952540529,6004.383952540529
45,6109.111579619725,6109.111579619725,6109.111579619725
46,6213.83920669892,6213.83920669892,6213.83920669892
47,6318.566833778115,6318.566833778115,6318.566833778115
48,6423.294460857311,6423.294460857311,6423.294460857311
49,6528.022087936506,6528.022087936506,6528.022087936506
50,6632.749715015701,6632.749715015701,6632.749715015701
51,6737.477342094897,6737.477342094897,6737.477342094897
52,6842.204969174092,6842.204969174092,6842.204969174092
53,6946.932596253288,6946.932596253288,6946.932596253288
54,7051.660223332483,7051.660223332483,7051.660223332483
55,7156.3878504116765,7156.3878504116765,7156.3878504116765
56,7261.115477490874,7261.115477490874,7261.115477490874
57,7365.843104570069,7365.843104570069,7365.843104570069
58,7470.570731649264,7470.570731649264,7470.570731649264
59,7575.29835872846,7575.29835872846,7575.29835872846
60,7680.025985807653,7680.025985807653,7680.025985807653
61,7784.7536128868505,7784.7536128868505,7784.7536128868505
62,7889.481239966046,7889.481239966046,7889.481239966046
63,7994.2088670452395,7994.2088670452395,7994.2088670452395
64,8098.936494124435,8098.936494124435,8098.936494124435
65,8203.66412120363,8203.66412120363,8203.66412120363
66,8308.391748282826,8308.391748282826,8308.391748282826
67,8413.119375362021,8413.119375362021,8413.119375362021
68,8517.847002441218,8517.847002441218,8517.847002441218
69,8622.574629520412,8622.574629520412,8622.574629520412
70,8727.302256599607,8727.302256599607,8727.302256599607
71,8832.029883678802,8832.029883678802,8832.029883678802
72,8936.757510757996,8936.757510757996,8936.757510757996
73,9041.485137837193,9041.485137837193,9041.485137837193
74,9146.212764916389,9146.212764916389,9146.212764916389
75,9250.940391995582,9250.940391995582,9250.940391995582
76,9355.66801907478,9355.66801907478,9355.66801907478
77,9460.395646153975,9460.395646153975,9460.395646153975
78,9565.12327323317,9565.12327323317,9565.12327323317
79,9669.850900312364,9669.850900312364,9669.850900312364
80,9774.578527391559,9774.578527391559,9774.578527391559
81,9879.306154470753,9879.306154470753,9879.306154470753
82,9984.033781549952,9984.033781549952,9984.033781549952
83,10088.761408629147,10088.761408629147,10088.761408629147
84,10193.48903570834,10193.48903570834,10193.48903570834
85,10298.216662787536,10298.216662787536,10298.216662787536
86,10402.944289866731,10402.944289866731,10402.944289866731
87,10507.671916945927,10507.671916945927,10507.671916945927
88,10612.399544025122,10612.399544025122,10612.399544025122
89,10717.127171104317,10717.127171104317,10717.127171104317
90,10821.854798183513,10821.854798183513,10821.854798183513
91,10926.582425262706,10926.582425262706,10926.582425262706
92,11031.310052341903,11031.310052341903,11031.310052341903
93,11136.037679421099,11136.037679421099,11136.037679421099
94,11240.765306500292,11240.765306500292,11240.765306500292
95,11345.492933579488,11345.492933579488,11345.492933579488
96,11450.220560658685,11450.220560658685,11450.220560658685
97,11554.94818773788,11554.94818773788,11554.94818773788
98,11659.675814817076,11659.675814817076,11659.675814817076
99,11764.403441896271,11764.403441896271,11764.403441896271
100,11869.131068975465,11869.131068975465,11869.131068975465
101,11973.858696054662,11973.858696054662,11973.858696054662
102,12078.586323133857,12078.586323133857,12078.586323133857
103,12183.31395021305,12183.31395021305,12183.31395021305
104,12288.041577292246,12288.041577292246,12288.041577292246
105,12392.769204371441,12392.769204371441,12392.769204371441
106,12497.496831450637,12497.496831450637,12497.496831450637
107,12602.224458529832,12602.224458529832,12602.224458529832
108,12706.952085609028,12706.952085609028,12706.952085609028
109,12811.679712688221,12811.679712688221,12811.679712688221
110,12916.407339767416,12916.407339767416,12916.407339767416
111,13021.134966846615,13021.134966846615,13021.134966846615
112,13125.862593925809,13125.862593925809,13125.862593925809
113,13230.590221005004,13230.590221005004,13230.590221005004
114,13335.3178480842,13335.3178480842,13335.3178480842
115,13440.045475163395,13440.045475163395,13440.045475163395
116,13544.77310224259,13544.77310224259,13544.77310224259
117,13649.500729321786,13649.500729321786,13649.500729321786
118,13754.228356400981,13754.228356400981,13754.228356400981
119,13858.955983480175,13858.955983480175,13858.955983480175
120,13963.68361055937,13963.68361055937,13963.68361055937
